,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Students_in_school（万人）,10505,10059,7686,7488,7227,7313,7043,7207,6067,6339
Financial_education(亿元）,32169.47,30153.18,28072.8,26271.88,23041.7,22001.76,21242.1,16497.33,12550.02,10437.54
